,Other,Recombinants,BA.2.X,XBB.X,XBB.1.5.X,XBB.1.9.X,BA.2.86.X,JN.1.X
2023-05-10,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-11,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-12,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-13,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-14,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-15,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-16,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-17,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-18,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-19,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-20,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-21,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-22,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-23,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-24,0.00439577999999996,0.0,0.0,0.07219917,0.9234050500000001,0.0,0.0,0.0
2023-05-25,,,,,,,,
2023-05-26,,,,,,,,
2023-05-27,,,,,,,,
2023-05-28,,,,,,,,
2023-05-29,,,,,,,,
2023-05-30,,,,,,,,
2023-05-31,,,,,,,,
2023-06-01,,,,,,,,
2023-06-02,,,,,,,,
2023-06-03,,,,,,,,
2023-06-04,,,,,,,,
2023-06-05,,,,,,,,
2023-06-06,,,,,,,,
2023-06-07,,,,,,,,
2023-06-08,,,,,,,,
2023-06-09,,,,,,,,
2023-06-10,,,,,,,,
2023-06-11,,,,,,,,
2023-06-12,,,,,,,,
2023-06-13,,,,,,,,
2023-06-14,,,,,,,,
2023-06-15,,,,,,,,
2023-06-16,,,,,,,,
2023-06-17,,,,,,,,
2023-06-18,,,,,,,,
2023-06-19,,,,,,,,
2023-06-20,,,,,,,,
2023-06-21,,,,,,,,
2023-06-22,,,,,,,,
2023-06-23,,,,,,,,
2023-06-24,,,,,,,,
2023-06-25,,,,,,,,
2023-06-26,,,,,,,,
2023-06-27,,,,,,,,
2023-06-28,,,,,,,,
2023-06-29,,,,,,,,
2023-06-30,,,,,,,,
2023-07-01,,,,,,,,
2023-07-02,,,,,,,,
2023-07-03,,,,,,,,
2023-07-04,,,,,,,,
2023-07-05,,,,,,,,
2023-07-06,,,,,,,,
2023-07-07,,,,,,,,
2023-07-08,,,,,,,,
2023-07-09,,,,,,,,
2023-07-10,,,,,,,,
2023-07-11,,,,,,,,
2023-07-12,,,,,,,,
2023-07-13,,,,,,,,
2023-07-14,,,,,,,,
2023-07-15,,,,,,,,
2023-07-16,,,,,,,,
2023-07-17,,,,,,,,
2023-07-18,,,,,,,,
2023-07-19,,,,,,,,
2023-07-20,,,,,,,,
2023-07-21,,,,,,,,
2023-07-22,,,,,,,,
2023-07-23,,,,,,,,
2023-07-24,,,,,,,,
2023-07-25,,,,,,,,
2023-07-26,,,,,,,,
2023-07-27,,,,,,,,
2023-07-28,,,,,,,,
2023-07-29,,,,,,,,
2023-07-30,,,,,,,,
2023-07-31,,,,,,,,
2023-08-01,,,,,,,,
2023-08-02,,,,,,,,
2023-08-03,,,,,,,,
2023-08-04,,,,,,,,
2023-08-05,,,,,,,,
2023-08-06,,,,,,,,
2023-08-07,,,,,,,,
2023-08-08,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-09,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-10,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-11,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-12,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-13,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-14,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-15,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-16,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-17,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-18,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-19,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-20,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-21,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-22,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-23,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-24,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-25,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-26,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-27,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-28,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-29,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-30,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-08-31,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-01,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-02,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-03,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-04,0.00023188000000007314,0.0,0.0,0.0,0.9997681199999999,0.0,0.0,0.0
2023-09-05,0.0019705099999999254,0.0,0.0,0.0,0.12098613,0.0,0.87704336,0.0
2023-09-06,0.0019705099999999254,0.0,0.0,0.0,0.12098613,0.0,0.87704336,0.0
2023-09-07,0.0019705099999999254,0.0,0.0,0.0,0.12098613,0.0,0.87704336,0.0
2023-09-08,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-09,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-10,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-11,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-12,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-13,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-14,0.001299820000000007,0.02604165,0.0,0.05877465,0.341829355,0.0,0.572054525,0.0
2023-09-15,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-16,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-17,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-18,0.0022943899999999795,0.0173611,0.0,0.0391831,0.32412306,0.23566866666666667,0.3813696833333333,0.0
2023-09-19,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-20,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-21,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-22,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-23,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-24,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-25,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-26,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-27,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-28,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-29,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-09-30,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-10-01,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-10-02,0.002603657499999995,0.013020825,0.0,0.268664955,0.2529318,0.1767515,0.2860272625,0.0
2023-10-03,0.0021110300000000137,0.013020825,0.0,0.268664955,0.2489592675,0.1767515,0.2904924225,0.0
2023-10-04,0.0021110300000000137,0.013020825,0.0,0.268664955,0.2489592675,0.1767515,0.2904924225,0.0
2023-10-05,0.0021110300000000137,0.013020825,0.0,0.268664955,0.2489592675,0.1767515,0.2904924225,0.0
2023-10-06,0.0029166249999999783,0.00999875,0.0048789424999999996,0.3486666125,0.177916995,0.179143825,0.27647825000000004,0.0
2023-10-07,0.0029166249999999783,0.00999875,0.0048789424999999996,0.3486666125,0.177916995,0.179143825,0.27647825000000004,0.0
2023-10-08,0.0029166249999999783,0.00999875,0.0048789424999999996,0.3486666125,0.177916995,0.179143825,0.27647825000000004,0.0
2023-10-09,0.0029166249999999783,0.00999875,0.0048789424999999996,0.3486666125,0.177916995,0.179143825,0.27647825000000004,0.0
2023-10-10,0.0029166249999999783,0.00999875,0.0048789424999999996,0.3486666125,0.177916995,0.179143825,0.27647825000000004,0.0
2023-10-11,0.0029166249999999783,0.00999875,0.0048789424999999996,0.3486666125,0.177916995,0.179143825,0.27647825000000004,0.0
2023-10-12,0.0029166249999999783,0.00999875,0.0048789424999999996,0.3486666125,0.177916995,0.179143825,0.27647825000000004,0.0
2023-10-13,0.0020291625000000146,0.00999875,0.0048789424999999996,0.3486666125,0.35555595749999996,0.002392325,0.27647825000000004,0.0
2023-10-14,0.0020291625000000146,0.00999875,0.0048789424999999996,0.3486666125,0.35555595749999996,0.002392325,0.27647825000000004,0.0
2023-10-15,0.0020291625000000146,0.00999875,0.0048789424999999996,0.3486666125,0.35555595749999996,0.002392325,0.27647825000000004,0.0
2023-10-16,0.0020291625000000146,0.00999875,0.0048789424999999996,0.3486666125,0.35555595749999996,0.002392325,0.27647825000000004,0.0
2023-10-17,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-18,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-19,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-20,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-21,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-22,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-23,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-24,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-25,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-26,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-27,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-28,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-29,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-30,0.0014221499999999831,0.00999875,0.0048789424999999996,0.10938898250000001,0.34571645249999994,0.002392325,0.5262023975000001,0.0
2023-10-31,0.0018961999999999775,0.013331666666666667,0.006505256666666666,0.1458519766666667,0.42592326999999996,0.0031897666666666664,0.40330186333333345,0.0
2023-11-01,0.0018961999999999775,0.013331666666666667,0.006505256666666666,0.1458519766666667,0.42592326999999996,0.0031897666666666664,0.40330186333333345,0.0
2023-11-02,0.0018961999999999775,0.013331666666666667,0.006505256666666666,0.1458519766666667,0.42592326999999996,0.0031897666666666664,0.40330186333333345,0.0
2023-11-03,0.0009185449999999928,0.0,0.0,0.0,0.49963315999999997,0.0,0.49944829500000015,0.0
2023-11-04,0.0009185449999999928,0.0,0.0,0.0,0.49963315999999997,0.0,0.49944829500000015,0.0
2023-11-05,0.0009185449999999928,0.0,0.0,0.0,0.49963315999999997,0.0,0.49944829500000015,0.0
2023-11-06,0.0009185449999999928,0.0,0.0,0.0,0.49963315999999997,0.0,0.49944829500000015,0.0
2023-11-07,0.0009185449999999928,0.0,0.0,0.0,0.49963315999999997,0.0,0.49944829500000015,0.0
2023-11-08,0.0009185449999999928,0.0,0.0,0.0,0.49963315999999997,0.0,0.49944829500000015,0.0
2023-11-09,0.0009185449999999928,0.0,0.0,0.0,0.49963315999999997,0.0,0.49944829500000015,0.0
2023-11-10,0.0011034099999999158,0.0,0.0,0.0,0.0,0.0,0.9988965900000001,0.0
2023-11-11,0.0011034099999999158,0.0,0.0,0.0,0.0,0.0,0.9988965900000001,0.0
2023-11-12,0.0011034099999999158,0.0,0.0,0.0,0.0,0.0,0.9988965900000001,0.0
2023-11-13,0.0011034099999999158,0.0,0.0,0.0,0.0,0.0,0.9988965900000001,0.0
2023-11-14,,,,,,,,
2023-11-15,,,,,,,,
2023-11-16,,,,,,,,
2023-11-17,,,,,,,,
2023-11-18,,,,,,,,
2023-11-19,,,,,,,,
2023-11-20,,,,,,,,
2023-11-21,,,,,,,,
2023-11-22,,,,,,,,
2023-11-23,,,,,,,,
2023-11-24,,,,,,,,
2023-11-25,,,,,,,,
2023-11-26,,,,,,,,
2023-11-27,,,,,,,,
2023-11-28,,,,,,,,
2023-11-29,,,,,,,,
2023-11-30,,,,,,,,
2023-12-01,,,,,,,,
2023-12-02,,,,,,,,
2023-12-03,,,,,,,,
2023-12-04,,,,,,,,
2023-12-05,,,,,,,,
2023-12-06,,,,,,,,
2023-12-07,,,,,,,,
2023-12-08,,,,,,,,
2023-12-09,,,,,,,,
2023-12-10,,,,,,,,
2023-12-11,,,,,,,,
2023-12-12,,,,,,,,
2023-12-13,,,,,,,,
2023-12-14,,,,,,,,
2023-12-15,,,,,,,,
2023-12-16,,,,,,,,
2023-12-17,,,,,,,,
2023-12-18,,,,,,,,
2023-12-19,,,,,,,,
2023-12-20,,,,,,,,
2023-12-21,,,,,,,,
2023-12-22,,,,,,,,
2023-12-23,,,,,,,,
2023-12-24,,,,,,,,
2023-12-25,,,,,,,,
2023-12-26,,,,,,,,
2023-12-27,,,,,,,,
2023-12-28,,,,,,,,
2023-12-29,,,,,,,,
2023-12-30,,,,,,,,
2023-12-31,,,,,,,,
2024-01-01,,,,,,,,
2024-01-02,,,,,,,,
2024-01-03,,,,,,,,
2024-01-04,,,,,,,,
2024-01-05,,,,,,,,
2024-01-06,,,,,,,,
2024-01-07,,,,,,,,
2024-01-08,,,,,,,,
2024-01-09,,,,,,,,
2024-01-10,,,,,,,,
2024-01-11,,,,,,,,
2024-01-12,,,,,,,,
2024-01-13,,,,,,,,
2024-01-14,,,,,,,,
2024-01-15,,,,,,,,
2024-01-16,,,,,,,,
2024-01-17,,,,,,,,
2024-01-18,,,,,,,,
2024-01-19,,,,,,,,
2024-01-20,,,,,,,,
2024-01-21,,,,,,,,
2024-01-22,,,,,,,,
2024-01-23,,,,,,,,
2024-01-24,,,,,,,,
2024-01-25,,,,,,,,
2024-01-26,,,,,,,,
2024-01-27,,,,,,,,
2024-01-28,,,,,,,,
2024-01-29,,,,,,,,
2024-01-30,,,,,,,,
2024-01-31,,,,,,,,
2024-02-01,,,,,,,,
2024-02-02,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-03,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-04,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-05,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-06,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-07,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-08,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-09,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-10,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-11,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-12,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-13,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-14,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
2024-02-15,0.0009326400000000401,0.0,0.0,0.0,0.0,0.0,0.0,0.99906736
